"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.905044400E-1,-9.162971983E-4,8.093958721E-3,-6.719512399E-3
5.926296480E-1,2.748891478E-3,7.635809598E-4,-4.276053514E-3
5.947548560E-1,3.054323897E-4,-2.901607659E-3,-6.719512399E-3
5.968800650E-1,3.054323897E-4,-4.123337101E-3,-6.719512399E-3
5.990052210E-1,-9.162971983E-4,1.985310577E-3,-6.719512399E-3
6.011304290E-1,-3.359756200E-3,1.053741761E-2,-5.497782957E-3
6.032556380E-1,-5.803215317E-3,1.542433538E-2,-4.276053514E-3
6.053808460E-1,-7.024944760E-3,1.053741761E-2,-5.497782957E-3
6.075060540E-1,-4.581485875E-3,5.650499370E-3,-5.497782957E-3
6.096312630E-1,-4.581485875E-3,5.650499370E-3,-7.941242307E-3
6.117564710E-1,-4.581485875E-3,-4.581485991E-4,-5.497782957E-3
6.138816790E-1,-3.359756200E-3,-7.788525894E-3,-6.719512399E-3
6.160068880E-1,-2.138026757E-3,-2.901607659E-3,-6.719512399E-3
6.181320960E-1,-9.162971983E-4,7.635809598E-4,-6.719512399E-3
6.202573040E-1,-3.359756200E-3,7.635809598E-4,-7.941242307E-3
6.223825130E-1,3.054323897E-4,9.315688163E-3,-6.719512399E-3
6.245077210E-1,-4.581485875E-3,1.664606482E-2,-5.497782957E-3
6.266329290E-1,-4.581485875E-3,1.420260593E-2,-6.719512399E-3
6.287581380E-1,-9.162971983E-4,6.872228812E-3,-6.719512399E-3
6.308833460E-1,-9.162971983E-4,6.872228812E-3,-5.497782957E-3
6.330085540E-1,-7.024944760E-3,1.175914705E-2,-4.276053514E-3
6.351337630E-1,-7.024944760E-3,1.420260593E-2,-7.941242307E-3
6.372589710E-1,-7.024944760E-3,1.542433538E-2,-7.941242307E-3
6.393841790E-1,-5.803215317E-3,2.031125315E-2,-7.941242307E-3
6.415093880E-1,-7.024944760E-3,1.298087649E-2,-6.719512399E-3
6.436345960E-1,-4.581485875E-3,5.650499370E-3,-7.941242307E-3
6.457598040E-1,-2.138026757E-3,1.542433538E-2,-9.162971750E-3
6.478850130E-1,-7.024944760E-3,2.519817278E-2,-9.162971750E-3
6.500102210E-1,-5.803215317E-3,2.641990222E-2,-1.038470119E-2
6.521354290E-1,-4.581485875E-3,2.641990222E-2,-7.941242307E-3
6.542606380E-1,-7.024944760E-3,2.764163166E-2,-5.497782957E-3
6.563858460E-1,-8.246674202E-3,1.908952370E-2,-4.276053514E-3
6.585110540E-1,-4.581485875E-3,3.207040019E-3,-4.276053514E-3
6.606362110E-1,-4.581485875E-3,-2.901607659E-3,-3.054323839E-3
6.627614190E-1,-1.069013402E-2,1.985310577E-3,-3.054323839E-3
6.648866790E-1,-1.191186346E-2,9.315688163E-3,-1.832594397E-3
6.670118360E-1,-1.191186346E-2,1.420260593E-2,6.108647794E-4
6.691370440E-1,-1.069013402E-2,1.542433538E-2,1.832594397E-3
6.712622520E-1,-8.246674202E-3,-2.901607659E-3,-6.108647794E-4
6.733874610E-1,-4.581485875E-3,-2.244928107E-2,-4.276053514E-3
