"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.866720440E-1,-1.244267747E-1,-8.614161611E-2,1.012642574E1
5.887972520E-1,-2.392822690E-2,-2.727817893E-1,1.005942631E1
5.909224610E-1,-4.785645287E-3,-9.092725813E-2,9.963713646E0
5.930476690E-1,-1.818545163E-1,4.307080805E-1,9.805787086E0
5.951728770E-1,-1.387837082E-1,7.657032609E-1,9.801001549E0
5.972980860E-1,-4.785645381E-2,6.987041831E-1,9.863214493E0
5.994232420E-1,1.387837082E-1,6.269195080E-1,9.700503349E0
6.015484500E-1,1.579262912E-1,7.369893789E-1,9.379864693E0
6.036736580E-1,2.871387079E-2,8.470591903E-1,9.355937004E0
6.057988670E-1,-3.302095234E-1,8.662018180E-1,9.413364410E0
6.079240750E-1,-7.034898400E-1,6.508477330E-1,9.408578873E0
6.100492830E-1,-5.503492355E-1,3.924229145E-1,9.485149384E0
6.121744920E-1,-2.871387303E-1,3.589234054E-1,9.681360245E0
6.142997000E-1,-6.221338734E-2,1.435693651E-1,9.934999466E0
6.164249080E-1,-2.871387079E-2,4.785645287E-3,1.001156998E1
6.185501170E-1,-1.196411327E-1,9.571290575E-3,1.021256733E1
6.206753250E-1,-3.493520916E-1,-1.292124242E-1,1.032742214E1
6.228005330E-1,-2.967100143E-1,2.775674164E-1,1.002114105E1
6.249257420E-1,-1.004985496E-1,5.934200287E-1,9.930213928E0
6.270509500E-1,-1.196411327E-1,5.790630579E-1,9.987641335E0
6.291761580E-1,1.435693540E-2,6.269195080E-1,9.772287369E0
6.313013670E-1,-7.657032460E-2,9.379864931E-1,9.600004196E0
6.334265750E-1,-3.062812984E-1,9.810572863E-1,9.748359680E0
6.355517830E-1,-4.307080805E-1,7.034898400E-1,9.863214493E0
6.376769920E-1,-4.594219327E-1,3.158525825E-1,9.815358162E0
6.398022000E-1,-2.871387303E-1,2.057827413E-1,9.762716293E0
6.419274080E-1,-1.339980662E-1,1.483550072E-1,9.987641335E0
6.440526170E-1,-1.052841991E-1,1.435693540E-2,1.014078236E1
6.461778250E-1,-1.818545163E-1,3.828516230E-2,1.002114105E1
6.483030330E-1,-8.614161611E-2,-3.828516230E-2,1.004506969E1
6.504282420E-1,1.914258115E-2,-3.828516230E-2,9.958928108E0
6.525534500E-1,3.302095234E-1,4.019941986E-1,9.595218658E0
6.546786580E-1,3.349951804E-1,7.657032609E-1,9.389435768E0
6.568038670E-1,2.153540403E-1,8.662018180E-1,9.595218658E0
6.589290750E-1,0.000000000E0,8.949156404E-1,9.633503914E0
6.610542310E-1,-4.785645381E-2,9.619147182E-1,9.552147865E0
6.631794400E-1,-9.571290575E-3,6.699903607E-1,9.757930756E0
6.653047000E-1,4.785645287E-3,3.924229145E-1,9.824930191E0
6.674298560E-1,-1.244267747E-1,3.206382394E-1,9.619147301E0
6.695550650E-1,-1.866401732E-1,4.498506486E-1,9.619147301E0
6.716802730E-1,-2.201396823E-1,4.977070987E-1,9.958928108E0
6.738054810E-1,-2.105683982E-1,3.062812984E-1,1.019342422E1
6.759306900E-1,-9.092725813E-2,7.178468257E-2,1.018863869E1
6.780558980E-1,1.579262912E-1,-1.962114573E-1,1.026520920E1
6.801811060E-1,1.483550072E-1,-1.579262912E-1,1.016471100E1
6.823063150E-1,1.339980662E-1,3.828516304E-1,9.805787086E0
6.844315230E-1,5.264209956E-2,8.709874153E-1,9.781859398E0
6.865567310E-1,-1.292124242E-1,1.038485050E0,1.000199890E1
