"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.523464140E-1,-2.775674164E-1,5.647061467E-1,1.028913784E1
5.544715180E-1,-1.914258115E-2,8.470591903E-1,9.939785004E0
5.565966220E-1,4.881358147E-1,8.183453679E-1,9.686145782E0
5.587217270E-1,2.584248483E-1,7.704889178E-1,9.657432556E0
5.608468310E-1,-3.349951655E-2,1.134197950E0,9.576076508E0
5.629719350E-1,-5.838487148E-1,1.325623751E0,9.432506561E0
5.650970910E-1,-7.609176040E-1,1.153340459E0,9.523433685E0
5.672221950E-1,1.866401732E-1,1.478764415E0,9.978070259E0
5.693472990E-1,6.508477330E-1,6.747759581E-1,1.027478027E1
5.714724040E-1,8.135597110E-1,2.919243574E-1,1.037049294E1
5.735975080E-1,7.130611539E-1,9.332008362E-1,1.062413216E1
5.757226120E-1,4.881358147E-1,9.284151793E-1,1.029870892E1
5.778477680E-1,4.307080805E-1,6.987041831E-1,9.614361763E0
5.799728720E-1,1.339980662E-1,7.992027402E-1,9.293723106E0
5.820979770E-1,-7.178468257E-2,1.220339537E0,9.217152596E0
5.842230810E-1,-5.742774159E-2,1.263410330E0,9.552147865E0
5.863481850E-1,-8.614161611E-2,8.470591903E-1,1.006899738E1
5.884732890E-1,-1.148554832E-1,5.886343718E-1,1.021256733E1
5.905984450E-1,5.264209956E-2,5.216353536E-1,1.011685371E1
5.927235490E-1,3.062812984E-1,8.853443861E-1,1.025085258E1
5.948486540E-1,2.249253243E-1,8.662018180E-1,1.016471100E1
5.969737580E-1,1.052841991E-1,7.226324677E-1,9.824930191E0
5.990988620E-1,-2.536391914E-1,7.800601721E-1,9.934999466E0
6.012239660E-1,-3.637090325E-1,1.426122308E0,9.848857880E0
6.033490700E-1,-1.387837082E-1,1.004985452E0,9.815358162E0
6.054742270E-1,3.637090325E-1,7.178468108E-1,1.010249710E1
6.075993310E-1,3.876372576E-1,4.737788737E-1,1.021256733E1
6.097244350E-1,1.674975902E-1,2.153540403E-1,1.004028416E1
6.118495390E-1,-8.614161611E-2,1.028913736E0,9.949356079E0
6.139746430E-1,-6.173482537E-1,1.167697430E0,9.719645500E0
6.160997470E-1,-3.302095234E-1,7.369893789E-1,9.370293617E0
6.182249040E-1,-2.392822690E-2,1.177268744E0,9.489934921E0
6.203500080E-1,-9.571290575E-3,1.574477315E0,9.671789169E0
6.224751120E-1,-9.571290575E-3,1.239482164E0,1.006421185E1
6.246002160E-1,3.206382394E-1,8.231309652E-1,1.049013424E1
6.267253200E-1,2.775674164E-1,6.364908218E-1,1.044227791E1
6.288504240E-1,2.344966233E-1,8.422735929E-1,1.031785107E1
6.309755290E-1,5.264210105E-1,1.234696507E0,1.021735287E1
6.331006850E-1,2.488535494E-1,7.944171429E-1,1.036570740E1
6.352257890E-1,2.440679073E-1,7.752745152E-1,1.005942631E1
6.373508930E-1,-5.647061467E-1,1.473978758E0,9.853643417E0
